"player_id","player_fullname","injury_location","injury_category","injury_timing","injury_type","effective_start_of_injury","effective_end_of_injury","season"
11851,Kenny Golladay,Hamstring,Soft Tissue,Unknown,Unknown,2020-09-09,2020-09-28,2020
44140,Eddy Pineiro,Groin,Soft Tissue,Training Camp,Unknown,2020-09-08,2021-02-14,2020
43254,Greedy Williams,Shoulder,Nervous System,Training Camp,Nerve Damage,2020-09-09,2021-02-14,2020
9449,Kevin Johnson,Liver,Soft Tissue,Unknown,Laceration,2020-09-09,2020-09-28,2020
9934,James Vaughters,Achillies,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
12666,Sione Takitaki,Knee,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
57987,Willie Gay,Shoulder,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
47081,Jace Sternberger,Unknown Illness,Infectious,Unknown,Unknown,2020-12-23,2020-12-30,2020
7851,Blidi Wreh-Wilson,Unknown Illness,Infectious,Unknown,Unknown,2020-12-23,2020-12-30,2020
45953,Josh Jacobs,Knee,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
11951,Al-Quadin Muhammad,Ankle,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
57289,Anthony McFarland Jr.,Unknown Illness,Infectious,Unknown,Unknown,2020-12-25,2020-12-30,2020
11855,Jonnu Smith,Knee,Unknown,Unknown,Unknown,2020-12-24,2020-12-30,2020
11864,Jaleel Johnson,Knee,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
34934,Alec Ingold,Knee,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
45693,Jason Huntley,Unknown Illness,Infectious,Unknown,Unknown,2020-12-19,2020-12-30,2020
9535,Daryl Williams,Groin,Soft Tissue,Unknown,Unknown,2020-12-24,2020-12-30,2020
9550,Blake Bell,Unknown Illness,Infectious,Unknown,Unknown,2020-12-23,2020-12-30,2020
45747,Royce Freeman,Hip,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
11395,Jalen Richard,Chest,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
11913,Nate Hairston,Toe,Unknown,Unknown,Unknown,2020-12-24,2020-12-30,2020
11768,Haason Reddick,Shoulder,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
49178,Tarvarius Moore,Knee,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
12247,Pharaoh Brown,Ankle,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
47800,Denzel Mims,Foot,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
48233,Isaiah Johnson,Back,Unknown,Unknown,Unknown,2020-12-24,2020-12-30,2020
61697,Jalen Reagor,Ankle,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
45734,D'Ernest Johnson,Groin,Soft Tissue,Game,Unknown,2020-12-23,2020-12-30,2020
24614,Nathan Shepherd,Ankle,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
7090,Akiem Hicks,Ankle,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
5612,Andre Roberts,Back,Unknown,Unknown,Unknown,2020-12-24,2020-12-30,2020
11815,Chidobe Awuzie,Knee,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
11815,Chidobe Awuzie,Ankle,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
11102,Matt Skura,Back,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
9538,Jamison Crowder,Thigh,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
9468,Mario Edwards Jr.,Hamstring,Soft Tissue,Unknown,Unknown,2020-12-24,2020-12-30,2020
6207,Rodney Hudson,Back,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
45851,Chase Edmonds,Knee,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
8671,Derek Carr,Groin,Soft Tissue,Unknown,Unknown,2020-12-22,2020-12-30,2020
42472,Cameron Dantzler,Foot,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
48862,Patrick Ricard,Knee,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
9074,Adarius Taylor,Ankle,Unknown,Unknown,Unknown,2020-12-24,2020-12-30,2020
23250,Hunter Bradley,Unknown Illness,Infectious,Game,Unknown,2020-12-23,2020-12-30,2020
6317,Pernell McPhee,Knee,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
46179,Matt Peart,Ankle,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
31849,Jaeden Graham,Neck,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
11867,Eddie Jackson,Hip,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
40117,Gabe Nabers,Ankle,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
6166,Robert Quinn,Ankle,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
8645,Eric Ebron,Back,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
10668,Jaylon Smith,Wrist,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
12954,Quenton Nelson,Back,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
50535,Mike Ford,Foot,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
7636,Ty Nsekhe,Groin,Soft Tissue,Unknown,Unknown,2020-12-24,2020-12-30,2020
44889,Khari Blasingame,Ankle,Unknown,Game,Unknown,2020-12-30,2021-01-06,2020
4363,DeSean Jackson,Ankle,Unknown,Game,Unknown,2020-12-30,2021-02-14,2020
5529,Trent Williams,Elbow,Unknown,Game,Unknown,2020-12-30,2021-02-14,2020
11074,Marcus Johnson,Knee,Unknown,Practice,Unknown,2020-11-05,2020-11-09,2020
10798,Halapoulivaati Vaitai,Foot,Unknown,Unknown,Unknown,2020-09-09,2020-09-28,2020
84109,Brandon Aiyuk,Ankle,Unknown,Game,Unknown,2020-12-30,2021-02-14,2020
8726,John Brown,Calf,Soft Tissue,Game,Unknown,2020-09-30,2020-10-16,2020
34646,Johnathan Abram,Thumb,Unknown,Game,Unknown,2020-09-30,2020-10-22,2020
50727,Cody Barton,Quadricep,Soft Tissue,Game,Unknown,2020-09-23,2020-10-24,2020
29049,Michael Pittman Jr.,Calf,Soft Tissue,Game,Unknown,2020-09-30,2020-10-31,2020
9435,Marcus Mariota,Pectoral,Soft Tissue,Training Camp,Strain,2020-09-07,2020-10-24,2020
10000,Bryce Callahan,Wrist,Unknown,Game,Unknown,2020-09-28,2020-10-24,2020
8419,Chris Banjo,Hamstring,Soft Tissue,Game,Unknown,2020-09-30,2020-10-24,2020
31534,Khalen Saunders,Elbow,Unknown,Game,Unknown,2020-09-16,2020-12-04,2020
12660,Phillip Lindsay,Foot,Unknown,Game,Unknown,2020-09-28,2020-10-24,2020
10798,Halapoulivaati Vaitai,Foot,Unknown,Game,Unknown,2020-11-04,2020-12-19,2020
42883,Troy Pride Jr.,Hip,Unknown,Game,Unknown,2020-12-23,2021-02-14,2020
11937,Aaron Jones,Toe,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
61568,Marquise Brown,Knee,Unknown,Unknown,Unknown,2020-12-24,2020-12-30,2020
56895,Anthony Rush,Unknown Illness,Infectious,Unknown,Unknown,2020-12-23,2020-12-30,2020
48500,Carl Granderson,Neck,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
44522,Brian Burns,Knee,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
49569,Duke Shelley,Foot,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
49753,Cole Holcomb,Brain,Unknown,Practice,Unknown,2020-12-18,2020-12-30,2020
9449,Kevin Johnson,Knee,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
25644,Bravvion Roy,Knee,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
51028,Frankie Luvu,Back,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
42548,Krys Barnes,Eye,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
48931,Hercules Mata'afa,Back,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
10832,Derek Watt,Brain,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
9490,Rob Havenstein,Neck,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
40221,Joe Reed,Ribs,Unknown,Unknown,Unknown,2020-12-24,2020-12-30,2020
41817,Trevon Diggs,Foot,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
42475,Antoine Winfield Jr.,Shoulder,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
44152,Julian Okwara,Knee,Unknown,Unknown,Unknown,2020-12-24,2020-12-30,2020
29367,David Long Jr.,Neck,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
28451,Bilal Nichols,Knee,Unknown,Unknown,Unknown,2020-12-25,2020-12-30,2020
10651,Keanu Neal,Hamstring,Soft Tissue,Game,Unknown,2020-12-23,2020-12-30,2020
10879,Clayton Fejedelem,Thumb,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
10682,Jason Spriggs,Thumb,Unknown,Unknown,Unknown,2020-12-25,2020-12-30,2020
7177,Danny Trevathan,Ankle,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
9555,Za'Darius Smith,Neck,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
50170,Tashawn Bower,Ankle,Unknown,Unknown,Unknown,2020-12-24,2020-12-30,2020
11830,Duke Riley,Bicep,Soft Tissue,Game,Unknown,2020-12-23,2020-12-30,2020
11782,Tre'Davious White,Neck,Unknown,Unknown,Unknown,2020-12-24,2020-12-30,2020
10686,Deion Jones,Toe,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
9579,Stefon Diggs,Foot,Unknown,Unknown,Unknown,2020-12-24,2020-12-30,2020
11975,Ifeadi Odenigbo,Ankle,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
10765,Blake Martinez,Ankle,Unknown,Unknown,Unknown,2020-12-25,2020-12-30,2020
7862,Damontre Moore,Upper Arm,Unknown,Practice,Unknown,2020-12-25,2020-12-30,2020
66940,Nick Keizer,Shoulder,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
26075,Michael Gallup,Hip,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
10729,Graham Glasgow,Hand,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
9496,Frank Clark,Unknown Illness,Infectious,Unknown,Unknown,2020-12-24,2020-12-30,2020
12255,Cameron Johnston,Brain,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
28091,Jerome Baker,Knee,Unknown,Practice,Unknown,2020-12-18,2020-12-30,2020
7911,John Simon,Hamstring,Soft Tissue,Unknown,Unknown,2020-12-24,2020-12-30,2020
11809,Raekwon McMillan,Elbow,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
10650,Taylor Decker,Groin,Soft Tissue,Unknown,Unknown,2020-12-22,2020-12-30,2020
7830,Johnathan Hankins,Hamstring,Soft Tissue,Practice,Unknown,2020-12-23,2020-12-30,2020
5549,Dez Bryant,Thigh,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
9068,Josh Andrews,Shoulder,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
5580,Sean Lee,Knee,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
50088,John Franklin-Myers,Thigh,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
10798,Halapoulivaati Vaitai,Brain,Unknown,Unknown,Unknown,2020-12-22,2020-12-30,2020
8660,Jason Verrett,Unknown Illness,Infectious,Unknown,Unknown,2020-12-22,2020-12-30,2020
3471,Matt Prater,Back,Unknown,Unknown,Unknown,2020-12-24,2020-12-30,2020
8701,Morgan Moses,Ankle,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
8520,Jack Doyle,Quadricep,Soft Tissue,Unknown,Unknown,2020-12-24,2020-12-30,2020
49507,Darius Phillips,Knee,Unknown,Game,Unknown,2020-12-23,2020-12-30,2020
9494,Ali Marpet,Pectoral,Unknown,Practice,Unknown,2021-01-15,2021-01-27,2020
49196,Jordan Whitehead,Knee,Unknown,Practice,Unknown,2021-01-15,2021-02-03,2020
58177,Audley Isaacs,Unknown,Infectious,Unknown,Unknown,2020-11-02,2021-02-01,2020
57373,Chuba Hubbard,Ankle,Unknown,Unknown,Unknown,2020-11-29,2021-02-01,2020
76638,Nasir Greer,Knee,Unknown,Unknown,Unknown,2020-11-17,2021-02-01,2020
77350,Wil Froumy,Unknown Lower Body,Unknown,Unknown,Unknown,2020-10-25,2021-02-01,2020
42674,Mike Palmer,Hamstring,Soft Tissue,Unknown,Unknown,2020-11-16,2021-02-01,2020
57276,Maurice Burkley,Unknown Lower Body,Unknown,Unknown,Unknown,2020-11-28,2021-02-01,2020
77512,Lavel Dumont,Unknown Leg,Unknown,Unknown,Unknown,2020-11-07,2021-02-01,2020
52127,David Morris,Unknown,Infectious,Unknown,Infection,2020-11-16,2021-02-01,2020
121975,Tyler Huff,Knee - ACL,Soft Tissue,Unknown,Tear,2020-08-26,2021-02-01,2020
122052,Tyler Batty,Unknown Leg,Unknown,Unknown,Unknown,2020-10-26,2021-02-01,2020
122076,Hinckley Ropati,Knee,Unknown,Unknown,Unknown,2020-10-05,2021-02-01,2020
77733,Charles McClelland,Knee,Unknown,Unknown,Unknown,2020-10-28,2021-02-01,2020
102863,Jemel Jones,Unknown Leg,Unknown,Unknown,Unknown,2020-10-24,2021-02-01,2020
42845,Terrell Lewis,Ankle,Unknown,Game,Unknown,2021-01-12,2021-02-14,2020
6332,Tyrod Taylor,Chest,Respiratory,Game,Puncture Wound,2020-09-23,2020-10-24,2020
122215,Jaylan Knighton,Shoulder,Unknown,Unknown,Unknown,2020-12-12,2021-02-01,2020
83716,Greg Bell,Ankle,Unknown,Unknown,Unknown,2020-11-29,2021-02-01,2020
49374,Jaylon Jones,Unknown Upper Body,Unknown,Unknown,Unknown,2020-10-24,2021-02-01,2020
48188,John Mitchell,Knee,Unknown,Unknown,Unknown,2020-09-08,2021-02-01,2020
83476,Demitri Washington,Knee,Unknown,Unknown,Unknown,2020-11-02,2021-02-01,2020
82169,Trey LaBounty,Unknown,Infectious,Unknown,Infection,2020-11-08,2021-02-01,2020
39834,Chance Lytle,Unknown Leg,Unknown,Unknown,Unknown,2020-12-09,2021-02-01,2020
40408,Kendric Pryor,Unknown Upper Body,Unknown,Unknown,Unknown,2020-11-16,2021-02-01,2020
76978,LaQuan Johnson Jr.,Unknown,Unknown,Unknown,Unknown,2020-11-11,2021-02-01,2020
83639,Tyler Allgeier,Unknown,Infectious,Unknown,Infection,2020-12-15,2021-02-01,2020
52008,Matt Bushman,Achillies,Soft Tissue,Unknown,Unknown,2020-09-02,2021-02-01,2020
57788,Nate Landman,Ankle,Unknown,Unknown,Unknown,2020-12-12,2021-02-01,2020
61401,Racey McMath,Hamstring,Soft Tissue,Unknown,Unknown,2020-12-13,2021-02-01,2020
58302,Izayah Green-May,Unknown Shoulder and Arm,Unknown,Unknown,Unknown,2020-11-23,2021-02-01,2020
55406,Noah Vedral,Ankle,Unknown,Unknown,Unknown,2020-12-14,2021-02-01,2020
55589,Josh Blackwell,Knee - Meniscus,Soft Tissue,Unknown,Tear,2020-09-23,2021-02-01,2020
56797,Haskell Garrett,Knee,Unknown,Unknown,Unknown,2021-01-05,2021-02-01,2020
56905,Martin Andrus Jr.,Knee,Unknown,Unknown,Unknown,2020-10-30,2021-02-01,2020
57188,Marvin Hubbard III,Achillies,Soft Tissue,Unknown,Unknown,2020-09-11,2021-02-01,2020
57147,T.J. Wisham,Wrist,Unknown,Unknown,Unknown,2020-10-26,2021-02-01,2020
57208,Ronnie Rivers,Unknown Leg,Unknown,Unknown,Unknown,2020-12-08,2021-02-01,2020
57468,Terius Wheatley,Hamstring,Soft Tissue,Unknown,Unknown,2020-10-25,2021-02-01,2020
57874,Thomas Allen,Knee,Unknown,Unknown,Unknown,2020-11-14,2021-02-01,2020
40296,Mo Hasan,Unknown Shoulder and Arm,Unknown,Unknown,Compartment Syndrome,2020-11-16,2021-02-01,2020
58236,Tayler Katoa,Hamstring,Soft Tissue,Unknown,Unknown,2020-11-01,2021-02-01,2020
59738,Alex Palczewski,Unknown Leg,Unknown,Unknown,Unknown,2020-11-15,2021-02-01,2020
60347,Chase Cord,Ankle,Unknown,Unknown,Unknown,2020-11-22,2021-02-01,2020
60475,Tristan Gebbia,Hamstring,Soft Tissue,Unknown,Unknown,2020-12-08,2021-02-01,2020
60439,Lowell Narcisse,Unknown Leg,Unknown,Unknown,Unknown,2020-10-19,2021-02-01,2020
60532,Jay Urich,Shoulder,Unknown,Unknown,Unknown,2020-09-22,2021-02-01,2020
60613,Jack Coan,Foot,Unknown,Unknown,Unknown,2020-10-07,2021-02-01,2020
60580,Jack Sears,Unknown Upper Body,Unknown,Unknown,Unknown,2020-11-15,2021-02-01,2020
61577,Tylan Wallace,Knee,Unknown,Unknown,Unknown,2020-12-07,2021-02-01,2020
42781,J.C. Jackson,Knee,Unknown,Unknown,Unknown,2020-12-07,2021-02-14,2020
61543,Berkeley Holman,Unknown Head and Neck,Unknown,Unknown,Unknown,2020-11-29,2021-02-01,2020
61815,Reggie Roberson Jr.,Knee,Unknown,Game,Unknown,2020-10-12,2021-02-01,2020
99577,Taisun Phommachanh,Hand,Unknown,Unknown,Unknown,2020-10-25,2021-02-01,2020
77135,Jake Venables,Unknown Shoulder and Arm,Skeletal,Unknown,Fracture,2020-12-09,2021-02-01,2020
76669,Al Blades Jr.,Heart,Unknown,Unknown,Unknown,2020-12-09,2021-02-01,2020
42416,Brendan Scales,Foot,Unknown,Unknown,Unknown,2020-09-22,2021-02-01,2020
41041,Trevon Sidney,Unknown Leg,Unknown,Unknown,Unknown,2020-10-25,2021-02-01,2020
40988,Frank Darby,Ribs,Unknown,Unknown,Unknown,2020-11-07,2021-02-01,2020
39989,Zac Thomas,Unknown Leg,Unknown,Unknown,Unknown,2020-11-15,2021-02-01,2020
40048,Sam Noyer,Shoulder,Unknown,Unknown,Unknown,2020-12-14,2021-02-01,2020
40041,Eli Peters,Unknown Leg,Unknown,Unknown,Unknown,2020-11-22,2021-02-01,2020
77918,Ben Sims,Foot,Unknown,Unknown,Unknown,2020-12-06,2021-02-01,2020
42375,Dylan Soehner,Unknown Leg,Unknown,Unknown,Unknown,2020-12-06,2021-02-01,2020
42112,Jordan Wilson,Unknown Leg,Unknown,Unknown,Unknown,2020-08-26,2021-02-01,2020
44602,Marcus Moore,Unknown Leg,Unknown,Unknown,Unknown,2020-11-27,2021-02-01,2020
40217,Feleipe Franks,Unknown Upper Body,Unknown,Unknown,Unknown,2020-12-12,2021-02-01,2020
122412,Chubba Purdy,Collarbone,Unknown,Unknown,Unknown,2020-11-18,2021-02-01,2020
62775,Charles Snowden,Ankle,Unknown,Unknown,Unknown,2020-11-22,2021-02-01,2020
123987,Jay Hardy,Foot,Unknown,Unknown,Unknown,2020-10-24,2021-02-01,2020
124031,Kendall Milton,Knee - MCL,Soft Tissue,Unknown,Sprain,2020-11-09,2021-02-01,2020
124036,Justin Robinson,Shoulder,Unknown,Unknown,Unknown,2020-12-15,2021-02-01,2020
124037,Marcus Rosemy-Jacksaint,Ankle,Unknown,Unknown,Unknown,2020-11-09,2021-02-01,2020
124173,Malik Heath,Hamstring,Soft Tissue,Unknown,Unknown,2020-12-13,2021-02-01,2020
124241,Alex Huntley,Ankle,Unknown,Unknown,Unknown,2020-11-22,2021-02-01,2020
124243,Trai Jones,Ankle,Unknown,Unknown,Unknown,2020-09-27,2021-02-01,2020
124247,MarShawn Lloyd,Knee - ACL,Soft Tissue,Unknown,Tear,2020-08-26,2021-02-01,2020
124302,Len'Neth Whitehead,Foot,Unknown,Unknown,Unknown,2020-09-23,2021-02-01,2020
124341,Blake Smith,Knee,Unknown,Unknown,Unknown,2020-09-11,2021-02-01,2020
124351,Donovan Kaufman,Unknown,Infectious,Unknown,Unknown,2020-11-03,2021-02-01,2020
124391,Ethan Pouncey,Hip,Unknown,Unknown,Unknown,2020-09-25,2021-02-01,2020
99230,Dominick Blaylock,Knee - ACL,Soft Tissue,Unknown,Tear,2020-08-27,2021-02-01,2020
61141,De'Vion Warren,Knee - ACL,Soft Tissue,Game,Tear,2020-11-14,2021-02-01,2020
57727,K.J. Britt,Thumb,Unknown,Unknown,Unknown,2020-10-08,2021-02-01,2020
